상태,공고번호,등록번호
종료(반환),서울-강북-2024-00118,
종료(반환),서울-강동-2024-00119,410097800234685
종료(반환),서울-관악-2024-00143,
종료(반환),서울-관악-2024-00142,410093300002690
종료(반환),서울-양천-2024-00082,
종료(반환),서울-동대문-2024-00148,
종료(반환),서울-구로-2024-00087,
종료(반환),서울-노원-2024-00097,
종료(반환),서울-강동-2024-00117,410160010970717
종료(반환),서울-양천-2024-00080,
종료(반환),서울-송파-2024-00092,
종료(반환),서울-노원-2024-00096,410097800187707
종료(반환),서울-노원-2024-00092,
종료(반환),서울-관악-2024-00139,410160010417565
종료(반환),서울-서초-2024-00063,410160011872413
종료(반환),서울-강남-2024-00038,410097800255055
종료(반환),서울-용산-2024-00127,
종료(반환),서울-강서-2024-00105,
종료(반환),서울-도봉-2024-00081,
종료(반환),서울-강북-2024-00113,
종료(반환),서울-동대문-2024-00144,
종료(반환),서울-용산-2024-00121,
종료(반환),서울-서초-2024-00062,
종료(반환),서울-강북-2024-00112,
종료(반환),서울-용산-2024-00122,410097800086929
종료(반환),서울-송파-2024-00089,
종료(반환),서울-양천-2024-00078,410160011864240
종료(반환),서울-은평-2024-00131,
종료(반환),서울-노원-2024-00086,410160011880911
종료(반환),서울-도봉-2024-00079,410160010750507
종료(반환),서울-구로-2024-00084,
종료(반환),서울-서대문-2024-00061,
종료(반환),서울-금천-2024-00072,
종료(반환),서울-서초-2024-00060,410160011867142
종료(반환),서울-서초-2024-00059,410093300010945
종료(반환),서울-관악-2024-00134,410160010936285
종료(반환),서울-영등포-2024-00059,
종료(반환),서울-강서-2024-00100,
종료(반환),서울-용산-2024-00117,
종료(반환),서울-노원-2024-00080,
종료(반환),서울-강동-2024-00107,410160020151937
종료(반환),서울-금천-2024-00071,410097700043205
종료(반환),서울-강서-2024-00098,
종료(반환),서울-노원-2024-00079,410097800137877
종료(반환),서울-영등포-2024-00057,410097800466174
종료(반환),서울-광진-2024-00061,
종료(반환),서울-강남-2024-00036,
종료(반환),서울-용산-2024-00116,
종료(반환),서울-송파-2024-00082,
종료(반환),서울-금천-2024-00069,
종료(반환),서울-마포-2024-00141,410160010950504
종료(반환),서울-성북-2024-00095,
종료(반환),서울-종로-2024-00094,
종료(반환),서울-도봉-2024-00075,410097700011181
종료(반환),서울-관악-2024-00129,410100004108647
종료(반환),서울-종로-2024-00092,
종료(반환),서울-용산-2024-00115,
종료(반환),서울-서대문-2024-00058,
종료(반환),서울-서초-2024-00055,900115000290077
종료(반환),서울-노원-2024-00078,
종료(반환),서울-양천-2024-00071,
종료(반환),서울-송파-2024-00078,410160010976152
종료(반환),서울-은평-2024-00125,410097800518589
종료(반환),서울-강동-2024-00094,
종료(반환),서울-금천-2024-00068,410160011871435
종료(반환),서울-노원-2024-00075,
종료(반환),서울-서초-2024-00049,
종료(반환),서울-은평-2024-00121,
종료(반환),서울-도봉-2024-00069,
종료(반환),서울-도봉-2024-00068,410160010938351
종료(반환),서울-도봉-2024-00067,
종료(반환),서울-성동-2024-00045,
종료(반환),서울-서초-2024-00050,410160011867142
종료(반환),서울-용산-2024-00108,410097800308426
종료(반환),서울-송파-2024-00074,410097800199038
종료(반환),서울-영등포-2024-00048,410097800524227
종료(반환),서울-양천-2024-00067,410160010764043
종료(반환),서울-노원-2024-00073,
종료(반환),서울-도봉-2024-00066,
종료(반환),서울-종로-2024-00084,
종료(반환),서울-관악-2024-00127,
종료(반환),서울-양천-2024-00065,
종료(반환),서울-관악-2024-00126,
종료(반환),서울-영등포-2024-00044,900219001284360
종료(반환),서울-관악-2024-00119,410160012805015
종료(반환),서울-동작-2024-00089,
종료(반환),서울-성북-2024-00087,
종료(반환),서울-관악-2024-00118,
종료(반환),서울-동작-2024-00088,
종료(반환),서울-동작-2024-00087,
종료(반환),서울-강남-2024-00030,410160012602153
종료(반환),서울-금천-2024-00063,410160010300467
종료(반환),서울-중구-2024-00021,41010008064511
종료(반환),서울-중랑-2024-00080,
종료(반환),서울-광진-2024-00053,
종료(반환),서울-구로-2024-00078,410097700036757
종료(반환),서울-서대문-2024-00053,
종료(반환),서울-성동-2024-00042,410097800450012
종료(반환),서울-성동-2024-00037,410160010968478
종료(반환),서울-동작-2024-00082,
종료(반환),서울-중랑-2024-00073,
종료(반환),서울-도봉-2024-00060,
종료(반환),서울-노원-2024-00067,
종료(반환),서울-강북-2024-00078,
종료(반환),서울-강동-2024-00080,410097800234685
종료(반환),서울-동작-2024-00079,410100011090679
종료(반환),서울-은평-2024-00116,
종료(반환),서울-성북-2024-00080,
종료(반환),서울-용산-2024-00092,
종료(반환),서울-중랑-2024-00071,
종료(반환),서울-강서-2024-00075,
종료(반환),서울-양천-2024-00060,
종료(반환),서울-은평-2024-00115,
종료(반환),서울-강북-2024-00076,410160010934887
종료(반환),서울-중랑-2024-00070,410097800229555
종료(반환),서울-노원-2024-00063,410097800488829
종료(반환),서울-노원-2024-00062,
종료(반환),서울-도봉-2024-00058,
종료(반환),서울-성북-2024-00076,410160011876348
종료(반환),서울-관악-2024-00107,
종료(반환),서울-관악-2024-00106,410100008267182
종료(반환),서울-성북-2024-00075,
종료(반환),서울-종로-2024-00072,410100012302397
종료(반환),서울-강남-2024-00026,
종료(반환),서울-동작-2024-00074,
종료(반환),서울-영등포-2024-00040,
종료(반환),서울-영등포-2024-00039,
종료(반환),서울-영등포-2024-00038,410160010961655
종료(반환),서울-영등포-2024-00037,
종료(반환),서울-성북-2024-00073,
종료(반환),서울-용산-2024-00087,410093300012467
종료(반환),서울-동대문-2024-00090,
종료(반환),서울-마포-2024-00094,
종료(반환),서울-중랑-2024-00067,
종료(반환),서울-광진-2024-00049,
종료(반환),서울-송파-2024-00052,410160010970897
종료(반환),서울-동작-2024-00072,410160011870345
종료(반환),서울-동작-2024-00071,410160010753359
종료(반환),서울-동대문-2024-00088,
종료(반환),서울-중랑-2024-00066,
종료(반환),서울-영등포-2024-00036,
종료(반환),서울-서초-2024-00037,410160011867142
종료(반환),서울-서초-2024-00040,
종료(반환),서울-성북-2024-00071,
종료(반환),서울-관악-2024-00101,
종료(반환),서울-서대문-2024-00046,
종료(반환),서울-서초-2024-00039,
종료(반환),서울-강서-2024-00074,410100008312120
종료(반환),서울-마포-2024-00089,
종료(반환),서울-마포-2024-00088,
종료(반환),서울-구로-2024-00059,
종료(반환),서울-서초-2024-00036,
종료(반환),서울-관악-2024-00100,410100008043483
종료(반환),서울-구로-2024-00058,
종료(반환),서울-강서-2024-00073,
종료(반환),서울-강북-2024-00069,
종료(반환),서울-동대문-2024-00080,
종료(반환),서울-강동-2024-00063,
종료(반환),서울-관악-2024-00099,410100008245686
종료(반환),서울-서대문-2024-00045,
종료(반환),서울-서초-2024-00033,
종료(반환),서울-용산-2024-00079,
종료(반환),서울-송파-2024-00049,
종료(반환),서울-관악-2024-00098,410093300023556
종료(반환),서울-용산-2024-00077,410100008113928
종료(반환),서울-양천-2024-00054,410097700014930
종료(반환),서울-마포-2024-00086,
종료(반환),서울-마포-2024-00085,410100008062247
종료(반환),서울-강북-2024-00067,410160010954112
종료(반환),서울-성북-2024-00069,410100008003731
종료(반환),서울-영등포-2024-00034,900202101069347
종료(반환),서울-송파-2024-00047,
종료(반환),서울-영등포-2024-00031,900115000532830
종료(반환),서울-중랑-2024-00059,
종료(반환),서울-노원-2024-00051,
종료(반환),서울-동작-2024-00069,
종료(반환),서울-강남-2024-00025,
종료(반환),서울-동작-2024-00066,
종료(반환),서울-노원-2024-00044,
종료(반환),서울-송파-2024-00045,410160010976152
종료(반환),서울-송파-2024-00044,
종료(반환),서울-도봉-2024-00052,410160011868580
종료(반환),서울-광진-2024-00041,
종료(반환),서울-강서-2024-00070,
종료(반환),서울-서대문-2024-00043,
종료(반환),서울-성북-2024-00068,
종료(반환),서울-중랑-2024-00056,
종료(반환),서울-동대문-2024-00073,
종료(반환),서울-광진-2024-00038,410100008101665
종료(반환),서울-강북-2024-00063,
종료(반환),서울-중구-2024-00017,
종료(반환),서울-강동-2024-00057,
종료(반환),서울-마포-2024-00084,
종료(반환),서울-관악-2024-00093,410160010753359
종료(반환),서울-성북-2024-00067,410100008003731
